,Date,Users,year,month,day,day of week,weekend
410,2021-02-14,52,2021,2,14,6,True
411,2021-02-15,38,2021,2,15,0,False
412,2021-02-16,42,2021,2,16,1,False
413,2021-02-17,43,2021,2,17,2,False
414,2021-02-18,50,2021,2,18,3,False
415,2021-02-19,31,2021,2,19,4,False
416,2021-02-20,20,2021,2,20,5,True
417,2021-02-21,34,2021,2,21,6,True
418,2021-02-22,49,2021,2,22,0,False
419,2021-02-23,32,2021,2,23,1,False
420,2021-02-24,48,2021,2,24,2,False
421,2021-02-25,25,2021,2,25,3,False
422,2021-02-26,39,2021,2,26,4,False
423,2021-02-27,14,2021,2,27,5,True
424,2021-02-28,20,2021,2,28,6,True
425,2021-03-01,48,2021,3,1,0,False
426,2021-03-02,35,2021,3,2,1,False
427,2021-03-03,48,2021,3,3,2,False
428,2021-03-04,37,2021,3,4,3,False
429,2021-03-05,35,2021,3,5,4,False
430,2021-03-06,34,2021,3,6,5,True
431,2021-03-07,47,2021,3,7,6,True
432,2021-03-08,44,2021,3,8,0,False
433,2021-03-09,40,2021,3,9,1,False
434,2021-03-10,48,2021,3,10,2,False
435,2021-03-11,43,2021,3,11,3,False
436,2021-03-12,66,2021,3,12,4,False
437,2021-03-13,55,2021,3,13,5,True
438,2021-03-14,63,2021,3,14,6,True
439,2021-03-15,94,2021,3,15,0,False
440,2021-03-16,103,2021,3,16,1,False
441,2021-03-17,101,2021,3,17,2,False
442,2021-03-18,67,2021,3,18,3,False
443,2021-03-19,104,2021,3,19,4,False
444,2021-03-20,49,2021,3,20,5,True
445,2021-03-21,102,2021,3,21,6,True
446,2021-03-22,115,2021,3,22,0,False
447,2021-03-23,102,2021,3,23,1,False
448,2021-03-24,136,2021,3,24,2,False
449,2021-03-25,121,2021,3,25,3,False
450,2021-03-26,92,2021,3,26,4,False
451,2021-03-27,57,2021,3,27,5,True
452,2021-03-28,61,2021,3,28,6,True
453,2021-03-29,56,2021,3,29,0,False
454,2021-03-30,66,2021,3,30,1,False
455,2021-03-31,29,2021,3,31,2,False
456,2021-04-01,32,2021,4,1,3,False
457,2021-04-02,28,2021,4,2,4,False
